Title,Price,URL
"3/4 in. x 10 ft. PVC Schedule 40 Pressure Plain-End Pipe","$4.24(42¢/ft.)Buy10ormore$3.39","https://www.homedepot.com/p/Charlotte-Pipe-3-4-in-x-10-ft-PVC-Schedule-40-Pressure-Plain-End-Pipe-PVC-04007-0600/100348472"
"1 in. x 10 ft. Plastic Plain End Pipe","$3.88(39¢/ft.)Buy10ormore$3.10","https://www.homedepot.com/p/Charlotte-Pipe-1-in-x-10-ft-Plastic-Plain-End-Pipe-PVC200100600/100348483"
"2 in. x 10 ft. White Schedule 40 PVC Pipe Solid Core","$13.68($1.37/ft.)Buy10ormore$10.94","https://www.homedepot.com/p/Charlotte-Pipe-2-in-x-10-ft-White-Schedule-40-PVC-Pipe-Solid-Core-PVC-07200-0600/100348475"
"2 in. PVC Schedule 40 S x S Coupling","$1.85","https://www.homedepot.com/p/Charlotte-Pipe-2-in-PVC-Schedule-40-S-x-S-Coupling-PVC021001600HD/203811391"
"3 in. x 10 ft. PVC Schedule 40 DWV Pipe","$37.96($3.80/ft.)","https://www.homedepot.com/p/Charlotte-Pipe-3-in-x-10-ft-PVC-Schedule-40-DWV-Pipe-PVC073000600/100348476"
"1/2 in. x 10 ft. White PVC SCH 40 Potable Pressure Water Pipe","$3.53(35¢/ft.)Buy10ormore$2.82","https://www.homedepot.com/p/IPEX-1-2-in-x-10-ft-White-PVC-SCH-40-Potable-Pressure-Water-Pipe-30-05010HD/319692959"
"48 in. x 96 in. x 0.177 in. Clear General Purpose Polycarbonate Sheet","$214.86","https://www.homedepot.com/p/TUFFAK-48-in-x-96-in-x-0-177-in-Clear-General-Purpose-Polycarbonate-Sheet-11600101/301894184"
"11 in. x 14 in. x 0.093 in. Clear UV Stable Polycarbonate Sheet","$12.48","https://www.homedepot.com/p/LEXAN-11-in-x-14-in-x-0-093-in-Clear-UV-Stable-Polycarbonate-Sheet-GE-34/205437907"
"48 in. x 96 in. x 0.220 in. Clear General Purpose Polycarbonate Sheet","$348.00","https://www.homedepot.com/p/LEXAN-48-in-x-96-in-x-0-220-in-Clear-General-Purpose-Polycarbonate-Sheet-11284101/314514205"
"Sunlite 24 in. x 48 in. x 5/16 in. Polycarbonate Clear Twinwall Sheet","$28.88","https://www.homedepot.com/p/Palram-Sunlite-24-in-x-48-in-x-5-16-in-Polycarbonate-Clear-Twinwall-Sheet-174040/305560353"
"24 in. x 48 in. x .060 in Clear Polycarbonate Lighting Panel","$19.97/package","https://www.homedepot.com/p/TUFFLENS-24-in-x-48-in-x-060-in-Clear-Polycarbonate-Lighting-Panel-17349102/310566151"
"48 in. x 96 in. x 0.118 (1/8) in. Clear Acrylic Sheet","$156.00","https://www.homedepot.com/p/OPTIX-48-in-x-96-in-x-0-118-1-8-in-Clear-Acrylic-Sheet-MC-100S/205351353"
"8 in. x 10 in. x 0.050 (1/20) in. Clear Non-Glare Acrylic Sheet","$4.48","https://www.homedepot.com/p/OPTIX-8-in-x-10-in-x-0-050-1-20-in-Clear-Non-Glare-Acrylic-Sheet-1X09241A/300085223"
"18 in. x 24 in. x 0.093 (3/32) in. Clear Acrylic Sheet","$18.48","https://www.homedepot.com/p/OPTIX-18-in-x-24-in-x-0-093-3-32-in-Clear-Acrylic-Sheet-MC-05/202038047"
"24 in. x 48 in. x 0.093 (3/32) in. Clear Acrylic Sheet","$45.98","https://www.homedepot.com/p/OPTIX-24-in-x-48-in-x-0-093-3-32-in-Clear-Acrylic-Sheet-MC-13/202038048"
"30 in. x 36 in. x 0.093 (3/32) in. Clear Acrylic Sheet","$41.48","https://www.homedepot.com/p/OPTIX-30-in-x-36-in-x-0-093-3-32-in-Clear-Acrylic-Sheet-MC-06/202038044"
"OSB 7/16 Application as 4ft. X 8 ft. Sheathing Panel","Limit90perorder$15.48Buy68ormore$13.93","https://www.homedepot.com/p/OSB-7-16-Application-as-4ft-X-8-ft-Sheathing-Panel-386081/202106230"
"23/32 in. x 4 ft. x 8 ft. RTD Sheathing Syp","Limit90perorder$36.38Buy48ormore$32.74","https://www.homedepot.com/p/23-32-in-x-4-ft-x-8-ft-RTD-Sheathing-Syp-129323/303564747"
"19/32 in. x 4 ft. x 8 ft. Actual 0.578 in. x 47.75 in. x 94.75 in. Oriented Strand Board Forcefield","$23.57","https://www.homedepot.com/p/ForceField-19-32-in-x-4-ft-x-8-ft-Actual-0-578-in-x-47-75-in-x-94-75-in-Oriented-Strand-Board-Forcefield-1366585/318366453"
"15/32 in. x 4 ft. x 8 ft. 3-Ply RTD Sheathing","Limit90perorder$25.00Buy72ormore$22.50","https://www.homedepot.com/p/Plytanium-15-32-in-x-4-ft-x-8-ft-3-Ply-RTD-Sheathing-132411/100067329"
